Timestamp,كم يبلغ عمرك,الجنس,  ​ما هو نوع الخدمة التي تلقيتها اليوم/خلال زيارتك الأخيرة؟  ,  هل هذه زيارتك الأولى لهذه المنشأة؟  ,  أنت  ,"   كيف تقيّم سهولة الحصول على موعد؟ (1: صعب جداً، 5: سهل جداً) ",  ما هي المدة التي انتظرتها من وقت حجز الموعد حتى يوم الكشف الفعلي؟  ,"  كيف تقيّم سهولة الوصول إلى موقع المستشفى/الوحدة الصحية؟   (1: صعب جداً، 5: سهل جداً)",  هل كانت اللافتات الإرشادية داخل المنشأة واضحة وكافية للوصول إلى وجهتك؟  ,"  كيف تقيّم لطف وحسن تعامل موظفي الاستقبال؟ (1:سئ، 5: ممتاز)",  ما هي مدة انتظارك في منطقة الاستقبال قبل تسجيل بياناتك؟,"  كيف تقيّم وضوح الإجراءات المتبعة عند التسجيل؟ (1:سئ، 5: ممتاز) ","  ما مدى رضاك عن نظافة ومستوى الراحة في منطقة الانتظار الرئيسية؟  (1:سئ، 5: ممتاز)",  كم من الوقت انتظرت في منطقة الانتظار قبل رؤية الطبيب؟  ,"  كيف تقيّم مدى اهتمام الممرض/الممرضة بالاستماع إليك؟ (1:سئ، 5: ممتاز)","  إلى أي مدى شعرت بالاحترام والتعاطف من قبل فريق التمريض؟   (1:سئ، 5: ممتاز)",  هل قام فريق التمريض بتقديم أنفسهم وشرح الإجراءات التي يقومون بها؟  ,"  كيف تقيّم سرعة استجابة التمريض عند طلب المساعدة؟ ​ سهل جداً  (1:سئ، 5: ممتاز)",  هل استمع الطبيب جيداً لشرحك لحالتك الصحية؟  ,"  ما مدى رضاك عن الوقت الذي خصصه الطبيب لك؟   (1:سئ، 5: ممتاز)","  كيف تقيّم وضوح شرح الطبيب لتشخيص حالتك؟   (1:سئ، 5: ممتاز)",  هل أشركك الطبيب في القرارات المتعلقة بخطتك العلاجية؟  ,  هل شعرت بالراحة في طرح الأسئلة على الطبيب؟  ,  هل أجاب الطبيب على جميع استفساراتك بطريقة مفهومة؟  ,"  كيف تقيّم مستوى الثقة الذي شعرت به تجاه طبيبك المعالج؟   (1:سئ، 5: ممتاز)","  كيف تقيّم مستوى نظافة الغرف؟ (1:سئ، 5: ممتاز)",  هل شعرت بأن خصوصيتك تم احترامها أثناء الكشف والعلاج؟  ,"  كيف تقيّم مستوى الهدوء وقلة الإزعاج في المنشأة؟   (1:سئ، 5: ممتاز)","  ما مدى رضاك عن جودة الوجبات المقدمة (في حال الاقامة)؟   (1:سئ، 5: ممتاز)","  هل كانت المرافق (مثل دورات المياه، الكافيتريا) متاحة وسهلة الاستخدام؟  ",  هل تم شرح الفحوصات أو الإجراءات الطبية لك بوضوح قبل إجرائها؟  ,"  إذا كنت تعاني من ألم، كيف تقيّم اهتمام الفريق الطبي بالسيطرة عليه؟  (1:سئ، 5: ممتاز)","  هل تم تزويدك بمعلومات واضحة حول الأدوية التي وصفت لك (الجرعة، الآثار الجانبية)؟  ",  كيف تقيّم التنسيق بين الأقسام المختلفة (مثلاً بين الطبيب والمختبر والأشعة)؟,"   كيف تقيّم وضوح الفواتير والتكاليف المالية للخدمة؟    (1:سئ، 5: ممتاز)",  هل قام الموظفون بشرح ما يغطيه تأمينك الصحي (إن وجد) بوضوح؟  ,"  كيف تقيّم سهولة وسرعة إجراءات الخروج من المستشفى (في حال الاقامة)؟  (1: صعب جداً، 5: سهل جداً)","  بشكل عام، ما مدى رضاك عن الرعاية التي تلقيتها في هذه الزيارة؟   (1:سئ، 5: ممتاز)","  إلى أي مدى توصي بالمنشأت الصحية الحكومية لعائلتك وأصدقائك؟  (1:سئ، 5: ممتاز)",  ما هو أفضل شيء في التجربة التي مررت بها؟  ,  ما هو أكثر شيء يحتاج إلى تحسين من وجهة نظرك؟  ,  هل لديك أي اقتراحات إضافية للمساعدة في تحسين خدماتنا؟  ,"كيف تقييم الراحة فى الدفع؟  (1:سئ، 5: ممتاز)",هل هناك طرق مختلفة للدفع؟,"  كيف تقيّم مستوى نظافة الممرات؟  (1:سئ، 5: ممتاز)","  كيف تقيّم مستوى نظافة دورات المياه؟     (1:سئ، 5: ممتاز)"
28/09/2025 18:35:07,19,ذكر,كشف في عيادة خارجية,لا,مريض,4,في حدود الساعة ,1,نعم,1,دقيقة,4,3,ساعة,3,1,لا,1,نعم,4,4,لا,نعم,نعم,3,3,نعم,3,,نعم,نعم,2,نعم,2,4,,,2,3,الحاجة الوحيدة الكويسية ان المستشفة جنب البيت ,قسم الطواريء مينفعش تخشه غير لو كونت بتموت ,لا,,,,
28/09/2025 18:46:18,24,ذكر,إجراء فحوصات أو أشعة,لا,مريض,3,يوم ,4,نعم,4,ساعه,4,5,ساعه,3,3,نعم,4,نعم,4,3,نعم,نعم,نعم,4,3,لا,2,3,نعم,نعم,4,لا,3,2,نعم,3,3,2,.,.,".
",,,,
07/10/2025 19:23:58,18 year - 29 year,ذكر,عملية جراحية,نعم,مرافق,4,يومين - اكثر,4,نعم,5,ساعة - ساعتين,4,5,دقيقة - 30 دقيقة,5,5,نعم,5,نعم,5,5,نعم,نعم,نعم,5,5,نعم,5,5,نعم,نعم,5,نعم,5,3,نعم,4,5,4,الاهتمام والاحترام المتبادل ,تقليل فترات الانتظار خصوصا فى العيادات الخارجية ,لا,4,لا,5,5
07/10/2025 19:28:20,18 year - 29 year,ذكر,إجراء فحوصات أو أشعة,لا,مريض,5,دقيقة - 30 دقيقة,5,نعم,5,دقيقة - 30 دقيقة,5,5,دقيقة - 30 دقيقة,5,5,نعم,5,نعم,5,5,نعم,نعم,نعم,5,5,نعم,5,5,نعم,نعم,5,نعم,5,5,نعم,5,5,5,.,.,.,5,نعم,5,5
07/10/2025 19:30:28,18 year - 29 year,ذكر,قسم الطوارئ,نعم,مرافق,3,ساعة - ساعتين,2,نعم,2,دقيقة - 30 دقيقة,3,4,ساعة - ساعتين,4,5,نعم,5,نعم,3,4,نعم,نعم,نعم,4,4,نعم,1,3,نعم,نعم,5,نعم,5,5,نعم,4,5,3,الرعاية الطبية,وقت الانتظار ,الاهتمام للوقت انتظار طبيب الطوارئ,4,لا,5,3
07/10/2025 19:36:17,18 year - 29 year,ذكر,قسم الطوارئ,لا,مريض,3,30 دقيقة - ساعة,3,نعم,4,دقيقة - 30 دقيقة,3,3,30 دقيقة - ساعة,4,3,لا,3,نعم,2,3,نعم,نعم,نعم,3,3,لا,3,3,نعم,نعم,2,لا,3,3,لا,2,3,3,.,.,.,2,نعم,3,2
07/10/2025 19:37:04,18 year - 29 year,أنثى,كشف في عيادة خارجية,لا,مريض,5,ساعة - ساعتين,3,لا,3,دقيقة - 30 دقيقة,3,3,ساعة - ساعتين,2,1,لا,2,نعم,4,3,نعم,نعم,نعم,4,4,لا,1,3,نعم,نعم,4,نعم,3,4,لا,5,3,3,لا يوجد,لا يوجد ,لا ,3,لا,4,1
07/10/2025 19:39:03,18 year - 29 year,ذكر,كشف في عيادة خارجية,نعم,مرافق,3,ساعتين - 4 ساعات,2,نعم,2,ساعة - ساعتين,3,3,ساعة - ساعتين,3,3,لا,3,نعم,4,5,نعم,لا,لا,3,3,لا,2,4,لا,نعم,1,نعم,1,1,نعم,5,1,3,..,..,..,1,نعم,5,1
07/10/2025 19:43:57,18 year - 29 year,ذكر,عملية جراحية,لا,مريض,3,ساعة - ساعتين,2,نعم,5,دقيقة - 30 دقيقة,4,5,ساعة - ساعتين,5,5,لا,4,نعم,5,5,نعم,نعم,نعم,5,5,نعم,3,5,نعم,نعم,5,نعم,5,3,,5,5,4,-,-,-,5,نعم,5,3
07/10/2025 19:44:06,18 year - 29 year,أنثى,كشف في عيادة خارجية,نعم,مرافق,5,30 دقيقة - ساعة,1,نعم,5,30 دقيقة - ساعة,5,5,دقيقة - 30 دقيقة,5,5,نعم,5,نعم,5,5,نعم,نعم,نعم,5,5,نعم,5,4,نعم,نعم,5,نعم,5,5,نعم,5,5,5,الاهتمام بالمرضى ,دورات المياه,لا,5,نعم,5,4
